SampleNum,Raw,X,Y
1,85.000000,1.000000,85.000000
2,100.000000,2.000000,100.000000
3,53.000000,3.000000,53.000000
4,74.000000,4.000000,74.000000
5,100.000000,5.000000,100.000000
6,100.000000,6.000000,100.000000
7,63.000000,7.000000,63.000000
8,73.000000,8.000000,73.000000
9,68.000000,9.000000,68.000000
10,100.000000,10.000000,100.000000
11,100.000000,11.000000,100.000000
12,83.000000,12.000000,83.000000
13,89.000000,13.000000,89.000000
14,93.000000,14.000000,93.000000
15,100.000000,15.000000,100.000000
16,92.000000,16.000000,92.000000
17,63.000000,17.000000,63.000000
18,63.000000,18.000000,63.000000
19,53.000000,19.000000,53.000000
20,78.000000,20.000000,78.000000
21,69.000000,21.000000,69.000000
22,62.000000,22.000000,62.000000
23,67.000000,23.000000,67.000000
24,50.000000,24.000000,50.000000
25,47.000000,25.000000,47.000000
26,74.000000,26.000000,74.000000
27,60.000000,27.000000,60.000000
28,84.000000,28.000000,84.000000
29,84.000000,29.000000,84.000000
30,83.000000,30.000000,83.000000
31,84.000000,31.000000,84.000000
32,88.000000,32.000000,88.000000
33,100.000000,33.000000,100.000000
34,100.000000,34.000000,100.000000
35,100.000000,35.000000,100.000000
36,100.000000,36.000000,100.000000
37,75.000000,37.000000,75.000000
38,92.000000,38.000000,92.000000
39,76.000000,39.000000,76.000000
40,92.000000,40.000000,92.000000
41,92.000000,41.000000,92.000000
42,92.000000,42.000000,92.000000
43,96.000000,43.000000,96.000000
44,100.000000,44.000000,100.000000
45,78.000000,45.000000,78.000000
46,100.000000,46.000000,100.000000
47,72.000000,47.000000,72.000000
48,70.000000,48.000000,70.000000
49,85.000000,49.000000,85.000000
50,100.000000,50.000000,100.000000
51,100.000000,51.000000,100.000000
52,97.000000,52.000000,97.000000
53,73.000000,53.000000,73.000000
54,73.000000,54.000000,73.000000
55,86.000000,55.000000,86.000000
56,56.000000,56.000000,56.000000
57,48.000000,57.000000,48.000000
58,56.000000,58.000000,56.000000
59,43.000000,59.000000,43.000000
60,65.000000,60.000000,65.000000
61,92.000000,61.000000,92.000000
62,93.000000,62.000000,93.000000
63,68.000000,63.000000,68.000000
64,56.000000,64.000000,56.000000
65,96.000000,65.000000,96.000000
66,100.000000,66.000000,100.000000
67,100.000000,67.000000,100.000000
68,85.000000,68.000000,85.000000
69,89.000000,69.000000,89.000000
70,85.000000,70.000000,85.000000
71,93.000000,71.000000,93.000000
72,56.000000,72.000000,56.000000
73,69.000000,73.000000,69.000000
74,46.000000,74.000000,46.000000
75,100.000000,75.000000,100.000000
76,100.000000,76.000000,100.000000
77,100.000000,77.000000,100.000000
78,100.000000,78.000000,100.000000
79,100.000000,79.000000,100.000000
80,70.000000,80.000000,70.000000
81,70.000000,81.000000,70.000000
82,100.000000,82.000000,100.000000
83,92.000000,83.000000,92.000000
84,92.000000,84.000000,92.000000
85,63.000000,85.000000,63.000000
86,75.000000,86.000000,75.000000
87,100.000000,87.000000,100.000000
88,100.000000,88.000000,100.000000
89,64.000000,89.000000,64.000000
90,64.000000,90.000000,64.000000
91,61.000000,91.000000,61.000000
92,51.000000,92.000000,51.000000
93,55.000000,93.000000,55.000000
94,77.000000,94.000000,77.000000
95,89.000000,95.000000,89.000000
96,55.000000,96.000000,55.000000
97,100.000000,97.000000,100.000000
98,100.000000,98.000000,100.000000
99,77.000000,99.000000,77.000000
100,83.000000,100.000000,83.000000
101,76.000000,101.000000,76.000000
102,86.000000,102.000000,86.000000
103,86.000000,103.000000,86.000000
104,93.000000,104.000000,93.000000
105,100.000000,105.000000,100.000000
106,69.000000,106.000000,69.000000
107,70.000000,107.000000,70.000000
108,93.000000,108.000000,93.000000
109,100.000000,109.000000,100.000000
110,89.000000,110.000000,89.000000
111,76.000000,111.000000,76.000000
112,100.000000,112.000000,100.000000
113,100.000000,113.000000,100.000000
114,60.000000,114.000000,60.000000
115,100.000000,115.000000,100.000000
116,86.000000,116.000000,86.000000
117,83.000000,117.000000,83.000000
118,87.000000,118.000000,87.000000
119,93.000000,119.000000,93.000000
120,97.000000,120.000000,97.000000
121,87.000000,121.000000,87.000000
122,86.000000,122.000000,86.000000
123,93.000000,123.000000,93.000000
124,80.000000,124.000000,80.000000
125,72.000000,125.000000,72.000000
126,89.000000,126.000000,89.000000
127,87.000000,127.000000,87.000000
128,75.000000,128.000000,75.000000
129,87.000000,129.000000,87.000000
130,93.000000,130.000000,93.000000
131,100.000000,131.000000,100.000000
132,90.000000,132.000000,90.000000
133,87.000000,133.000000,87.000000
134,87.000000,134.000000,87.000000
135,93.000000,135.000000,93.000000
136,86.000000,136.000000,86.000000
137,92.000000,137.000000,92.000000
138,89.000000,138.000000,89.000000
139,93.000000,139.000000,93.000000
140,83.000000,140.000000,83.000000
141,93.000000,141.000000,93.000000
142,73.000000,142.000000,73.000000
143,87.000000,143.000000,87.000000
144,63.000000,144.000000,63.000000
145,78.000000,145.000000,78.000000
146,90.000000,146.000000,90.000000
147,87.000000,147.000000,87.000000
148,93.000000,148.000000,93.000000
149,93.000000,149.000000,93.000000
150,93.000000,150.000000,93.000000
151,87.000000,151.000000,87.000000
152,78.000000,152.000000,78.000000
153,89.000000,153.000000,89.000000
154,87.000000,154.000000,87.000000
155,93.000000,155.000000,93.000000
156,79.000000,156.000000,79.000000
157,79.000000,157.000000,79.000000
158,84.000000,158.000000,84.000000
159,87.000000,159.000000,87.000000
160,93.000000,160.000000,93.000000
161,93.000000,161.000000,93.000000
162,90.000000,162.000000,90.000000
163,90.000000,163.000000,90.000000
164,93.000000,164.000000,93.000000
165,93.000000,165.000000,93.000000
166,81.000000,166.000000,81.000000
167,90.000000,167.000000,90.000000
168,84.000000,168.000000,84.000000
169,84.000000,169.000000,84.000000
170,90.000000,170.000000,90.000000
171,87.000000,171.000000,87.000000
172,90.000000,172.000000,90.000000
173,93.000000,173.000000,93.000000
174,79.000000,174.000000,79.000000
175,93.000000,175.000000,93.000000
176,93.000000,176.000000,93.000000
177,90.000000,177.000000,90.000000
178,90.000000,178.000000,90.000000
179,90.000000,179.000000,90.000000
180,87.000000,180.000000,87.000000
181,93.000000,181.000000,93.000000
182,93.000000,182.000000,93.000000
183,87.000000,183.000000,87.000000
184,93.000000,184.000000,93.000000
185,90.000000,185.000000,90.000000
186,69.000000,186.000000,69.000000
187,93.000000,187.000000,93.000000
188,90.000000,188.000000,90.000000
189,84.000000,189.000000,84.000000
190,90.000000,190.000000,90.000000
191,93.000000,191.000000,93.000000
192,93.000000,192.000000,93.000000
193,93.000000,193.000000,93.000000
194,90.000000,194.000000,90.000000
195,87.000000,195.000000,87.000000
196,93.000000,196.000000,93.000000
197,93.000000,197.000000,93.000000
198,67.000000,198.000000,67.000000
199,84.000000,199.000000,84.000000
200,87.000000,200.000000,87.000000
201,87.000000,201.000000,87.000000
202,93.000000,202.000000,93.000000
203,93.000000,203.000000,93.000000
204,93.000000,204.000000,93.000000
205,93.000000,205.000000,93.000000
